acousticness,danceability,energy,ind,instrumentalness,key,label,liveness,loudness,mode,song_id,song_name,speechiness,tempo,valence
0.129,0.72,0.807,64,0.0,11,1,0.183,-4.59,0,0tBbt8CrmxbjRP0pueQkyU,Wolves,0.0432,124.946,0.305
0.163,0.599,0.448,21,0.0,8,1,0.106,-6.312,1,0tgVpDi06FyKpA1z0VMD4v,Perfect,0.0232,95.05,0.168
0.037,0.759,0.54,107,0.0,9,1,0.0945,-6.039,0,0TK2YIli7K1leLovkQiNik,Señorita,0.0287,116.947,0.75
0.0715,0.592,0.873,183,0.00982,9,1,0.142,-5.65,1,0vrmHPfoBadXVr2n0m1aqZ,Heaven,0.0275,122.011,0.516
0.547,0.666,0.489,5,2.13e-06,11,0,0.204,-5.944,0,0W45ni3uikr9z0vPjlBIDw,Playing Games,0.0627,115.555,0.464
9.24e-05,0.475,0.973,10,0.000108,8,0,0.297,-3.684,1,0xgwhUNd8RBPLvjGr3CnU9,Cazador,0.0557,137.827,0.387
0.0605,0.399,0.879,137,0.868,0,1,0.729,-6.156,0,0Yv8KzstdxkSG9IZir4fnm,Beneath Us - Original Mix,0.0343,173.946,0.132
0.128,0.57,0.585,195,9.7e-05,8,1,0.111,-7.041,1,0Z26mbSHJ1dkUu7g9DDgif,Trigger,0.251,97.285,0.378
0.0485,0.76,0.588,79,0.0,9,1,0.0847,-7.082,1,10GJQkjRJcZhGTLagFOC62,Most Girls,0.0775,102.974,0.384
0.00183,0.504,0.896,170,0.0284,10,1,0.134,-6.249,0,16QlvcrfQPyRLfbxcXu0VG,Therapy,0.044,149.936,0.0393
0.84,0.762,0.317,36,6.71e-06,4,0,0.063,-7.707,0,1AAZHc8ZVcfrHhhBnqzlEX,Dreaming of You,0.0362,121.873,0.567
0.576,0.505,0.34,4,0.0,4,0,0.21,-9.005,1,1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,0.0438,101.993,0.0916
0.0687,0.614,0.647,175,0.0,0,1,0.104,-4.681,0,1HimGOB6BjOaCQYMIF1xtU,What Am I,0.0524,163.862,0.368
0.0113,0.806,0.608,139,0.0,1,1,0.635,-7.008,1,1huvTbEYtgltjQRXzrNKGi,Don't,0.0659,95.049,0.849
0.253,0.655,0.672,95,0.0,1,1,0.312,-4.966,1,1HvCFAUIWQsWV9zud3UhDl,All Falls Down (feat. Juliander),0.0581,98.005,0.675
0.428,0.314,0.526,166,0.0,0,1,0.126,-4.686,0,1HYzRuWjmS9LXCkdVHi25K,Stay With Me,0.0484,78.643,0.195
0.56,0.619,0.459,174,0.0,7,1,0.137,-5.782,0,1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),0.0334,126.803,0.498
0.0575,0.302,0.414,108,0.0,2,1,0.0861,-8.16,1,1iWHabUgUuuKLBa0TzTHfk,"A Whole New World (End Title) - From ""Aladdin""",0.0319,110.508,0.105
0.101,0.258,0.437,65,1.27e-06,11,1,0.106,-6.593,0,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,0.039,180.043,0.0967
0.204,0.766,0.709,72,1.41e-05,9,1,0.126,-6.471,0,1JbR9RDP3ogVNEWFgNXAjh,Look What You Made Me Do,0.123,128.07,0.506
0.00516,0.604,0.931,61,0.0,9,0,0.271,-3.326,1,1jH2IzZ7JnixFoGG6XSnpf,Rollin' (Air Raid Vehicle),0.175,96.249,0.682
0.0575,0.741,0.667,76,0.0,10,1,0.106,-5.445,1,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),0.134,112.956,0.595
0.346,0.778,0.547,57,0.000302,2,1,0.132,-7.273,1,1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),0.0489,95.002,0.441
0.336,0.624,0.401,219,0.00129,8,1,0.144,-11.793,1,1mnutbOQBQMUBT96qkFSrs,I'll Be There,0.0307,62.633,0.133
0.00103,0.665,0.712,178,0.00342,1,1,0.102,-7.536,1,1mpD5Q8IM32I4bF6eCpU74,Up All Night,0.0527,93.989,0.669
0.652,0.698,0.375,52,0.0,5,1,0.173,-8.279,1,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,0.0491,91.92,0.534
0.15,0.703,0.868,90,0.132,7,1,0.104,-4.661,0,1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,0.0291,121.03,0.733
0.0329,0.671,0.672,89,0.0,0,1,0.118,-3.094,0,1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),0.0688,97.98,0.632
0.00346,0.723,0.809,63,0.00123,7,1,0.565,-3.081,0,1qE47wUKG2juJwPoLqg4C9,Lean On (feat. MØ & DJ Snake),0.0625,98.007,0.274
0.184,0.765,0.523,14,3.56e-05,2,1,0.132,-4.333,1,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),0.03,104.988,0.394
0.334,0.334,0.617,88,0.0,6,1,0.163,-5.834,0,1SJtlNRJDeYHioymcvsqev,Crying in the Club,0.383,85.227,0.603
0.109,0.523,0.865,204,3.95e-05,9,1,0.107,-4.595,0,1uPbBG2kCrxoEbHfKuOOq0,Art of Letting Go,0.0693,128.022,0.15
0.0767,0.573,0.781,85,2.64e-05,8,1,0.0813,-6.406,1,1UZOjK1BwmwWU14Erba9CZ,Malibu,0.0555,139.934,0.343
0.513,0.689,0.516,35,0.0,8,0,0.163,-5.857,1,1VJwtWR6z7SpZRwipI12be,Candy,0.0444,124.876,0.209
0.0204,0.745,0.642,173,0.0,7,1,0.0658,-6.257,0,1xbtojAZsQjOgiGdGX6ChU,Ransom,0.287,179.974,0.226
0.0188,0.743,0.752,24,0.0,4,1,0.287,-4.813,1,1XGmzt0PVuFgQYYnV2It7A,Payphone,0.0414,110.015,0.545
0.0002,0.505,0.979,19,0.00135,0,0,0.334,-1.665,1,1xn6RBUCgZBYyaNRaqeVWP,The Negative One,0.0715,108.2,0.312
0.0948,0.686,0.83,7,1.33e-06,8,0,0.182,-4.437,1,1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),0.0369,123.032,0.486
0.00671,0.605,0.822,22,0.134,0,1,0.147,-4.833,1,1zB4vmk8tFRmM9UULNzbLB,Thunder,0.0438,167.997,0.288
0.00842,0.796,0.61,62,0.00286,1,1,0.351,-5.857,1,1zi7xx7UVEFkmKfv06H8x0,One Dance,0.0516,103.99,0.391
0.0522,0.621,0.601,154,0.0,6,1,0.46,-5.616,0,1ZPWWSwCkxKfqdp4H0RFCo,ROXANNE,0.148,116.735,0.457
0.117,0.866,0.399,160,0.0,7,1,0.0689,-10.938,1,20JtELGPfOAMq7FpUt8eSM,Yellow Hearts,0.0745,129.047,0.713
0.192,0.695,0.762,146,0.00244,0,1,0.0863,-3.497,1,21jGcNKet2qwijlDFuPiPb,Circles,0.0395,120.042,0.553
0.158,0.794,0.647,133,0.0,0,1,0.139,-6.232,1,21xJVN5wEbJogczYxfZhqR,Black Beatles,0.0628,145.945,0.345
0.112,0.705,0.769,53,0.0,9,1,0.105,-5.526,0,22VdIZQfgXJea34mQxlt81,Can't Feel My Face,0.0426,107.939,0.59
0.154,0.671,0.583,43,0.0,4,0,0.24,-6.551,0,24KD18eYQQQWaSW9Von1vA,Real Thing,0.0737,125.916,0.43
0.234,0.534,0.613,73,0.0,8,1,0.227,-7.41,0,265zv3IDBskSIkvgPOSiGQ,2U (feat. Justin Bieber),0.0591,144.878,0.528
0.0472,0.628,0.698,15,0.00143,6,1,0.0907,-5.608,0,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,0.105,89.976,0.732
0.288,0.584,0.643,180,0.0,2,1,0.186,-6.415,1,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,0.0395,90.036,0.53
0.285,0.509,0.479,102,0.0175,11,1,0.167,-6.601,1,2AoWWiMelowkStJoqPMDed,cold/mess,0.0262,145.967,0.299
0.837,0.764,0.32,148,0.0,11,1,0.0822,-7.209,1,2b8fOow8UzyDFAE27YhOZM,Memories,0.0546,91.019,0.575
0.115,0.725,0.806,52,0.0,0,0,0.0951,-5.501,1,2bS9K5e7yfggeBtDaJ4x9C,More Of My Life,0.0442,140.058,0.531
0.0139,0.726,0.431,77,0.0,0,1,0.054,-6.666,1,2cOUlop2ZakjOKe4WinesN,Slow Hands,0.0554,85.889,0.86
0.191,0.687,0.792,83,0.0,5,1,0.167,-2.749,1,2dpaYNEQHiRxtZbfNsse99,Happier,0.0452,100.015,0.671
0.00264,0.732,0.75,27,0.0,11,0,0.109,-6.366,0,2eMwDehkIC1j68U6FA3Eiq,XO TOUR Llif3,0.231,155.096,0.401
0.316,0.788,0.742,127,0.0,7,1,0.492,-6.36,1,2fVBseAxen6nazblF5aauJ,Shottin,0.291,90.03,0.656
0.328,0.701,0.425,1,0.13,7,0,0.1,-10.965,1,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.375,135.128,0.562
0.189,0.965,0.414,80,0.0,1,1,0.0767,-6.408,1,2fZQIJew3nkNe99s2PKzul,Bad Liar,0.0713,121.032,0.728
0.0608,0.876,0.662,161,0.0,2,1,0.127,-6.482,0,2gwkD6igEhQbDQegRCcdoB,Suge,0.426,75.445,0.844
0.383,0.717,0.73,3,0.0,9,1,0.398,-4.729,0,2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),0.0568,102.002,0.792
0.385,0.509,0.538,12,0.0,7,1,0.104,-7.335,1,2jyjhRf6DVbMPU5zxagN2h,Let Her Go,0.0572,75.089,0.244
0.369,0.689,0.481,19,1.03e-06,10,1,0.0649,-7.503,1,2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),0.0815,80.025,0.283
0.109,0.73,0.703,61,0.0,0,1,0.0657,-5.672,0,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,0.0369,138.113,0.595
0.866,0.464,0.473,179,0.0,1,1,0.109,-10.086,1,2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),0.129,75.801,0.604
0.088,0.931,0.387,109,0.0,1,1,0.136,-9.127,1,2l8nEO0vsTRCRnGqQty6qx,FEFE,0.412,125.978,0.376
0.444,0.843,0.6,221,0.0,0,1,0.101,-6.095,1,2Lxae4E83hZdR55WTH0OQC,Memories (Drinks Bring Back),0.14,121.24,0.585
0.0147,0.688,0.836,76,0.0,8,0,0.102,-3.464,1,2MGm3sknsqRwDwQVUGSJZo,We Could Have It All,0.0474,130.026,0.699
0.00252,0.576,0.989,22,0.0032,2,0,0.0243,-1.909,1,2MvIMgtWyK88OiPi0J8Dg3,Psychosocial,0.112,135.093,0.352
0.0519,0.652,0.453,70,0.0,1,0,0.179,-6.119,1,2N9bw4i7YitdN2LDDhMmpe,Walk Me Home,0.0445,88.038,0.432
8.44e-05,0.564,0.981,66,0.0,4,0,0.141,-3.769,1,2ocsBG8GVjITjFCbgZeqXW,You,0.135,135.996,0.427
0.535,0.752,0.505,93,2.55e-06,9,1,0.104,-7.621,1,2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,0.253,91.97,0.419
0.04,0.699,0.713,84,3.11e-06,9,1,0.294,-5.507,0,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,0.0594,121.993,0.354
0.0573,0.622,0.712,103,0.0,5,1,0.13,-7.321,1,2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,0.066,140.025,0.487
0.0736,0.608,0.798,49,0.0,6,1,0.156,-5.092,0,2qzISfdoGJa0AHXqgyJhw7,Cold Water (feat. Justin Bieber & MØ),0.0432,92.943,0.501
0.536,0.522,0.385,116,0.0,0,1,0.135,-7.355,1,2RttW7RAu5nOAfq6YFvApB,Happier,0.0288,89.792,0.236
0.323,0.608,0.827,205,0.000615,11,1,0.119,-2.811,1,2RWUGm0xiYsQBPAVknf52Y,Show Me,0.0364,89.98,0.178
0.0697,0.432,0.696,207,0.0,8,1,0.0617,-5.686,1,2rzWSWPzZZGSx6Wzj4ZJKO,NYC,0.109,71.556,0.571
0.0671,0.41,0.886,15,0.0,9,0,0.461,-4.413,0,2SasoXZyv82yYgHiVOvxQn,On God,0.155,72.577,0.393
0.0654,0.664,0.705,6,0.0,1,1,0.118,-4.972,0,2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,0.0382,122.016,0.477
0.371,0.572,0.385,122,0.0,7,1,0.231,-6.362,1,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.0308,95.799,0.323
0.153,0.654,0.63,2,0.0,10,0,0.111,-4.644,1,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",0.0259,89.991,0.43
0.0533,0.878,0.619,209,0.0,6,1,0.113,-5.56,1,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,0.102,136.041,0.639
0.157,0.358,0.643,214,0.0,5,1,0.0898,-8.034,0,2zJms5D9VSUYjc9y3VJR3q,Flames (with ZAYN),0.081,152.085,0.441
0.357,0.574,0.612,198,0.0,0,1,0.158,-4.741,1,2zoNNEAyPK2OGDfajardlY,Rushing Back,0.0781,136.046,0.368
0.213,0.82,0.69,40,0.0,3,0,0.092,-5.832,1,31TVmINcKi4UDLnhtIqXM9,Price on My Head,0.0614,142.074,0.641
0.482,0.806,0.558,181,0.0,9,1,0.0618,-6.46,1,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",0.0683,95.016,0.678
0.00801,0.856,0.609,54,8.15e-05,0,1,0.0344,-7.223,1,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,0.0824,114.988,0.928
0.0958,0.819,0.664,49,1.75e-06,7,0,0.263,-5.612,1,349Wc5mDu52d4Uv8Eg9WZv,Indigo,0.0828,144.988,0.71
0.0792,0.697,0.506,99,0.0,8,1,0.0893,-4.863,1,34oB5r0lcN3fYWCs2uA1k5,The Cure,0.0325,100.002,0.516
0.145,0.547,0.795,29,0.0,8,0,0.11,-3.721,1,35MKhw2YBKApmD7fAnPERC,Faith (with Dolly Parton) [feat. Mr. Probz],0.0489,118.118,0.723
0.562,0.488,0.311,33,0.000548,10,0,0.161,-11.467,0,3707IBa4HnS3zDDoWfeUBl,I Warned Myself,0.297,184.112,0.579
0.215,0.63,0.804,112,0.0,6,1,0.253,-4.183,1,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,0.0363,123.146,0.492
0.219,0.548,0.65,110,0.0,8,1,0.225,-5.827,0,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),0.0591,144.937,0.557
0.00113,0.245,0.845,8,1.31e-05,11,0,0.225,-8.307,0,3ACU4Frw3Ditx6gPKRfiMw,Cráneo Candente,0.0731,158.525,0.373
0.0462,0.734,0.637,42,2.29e-05,4,1,0.0602,-5.677,0,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,0.141,169.977,0.648
0.0895,0.584,0.54,68,0.0,1,1,0.261,-7.786,0,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,0.0576,137.972,0.195
0.0546,0.598,0.427,147,5.83e-06,7,1,0.21,-8.764,0,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0.0317,76.469,0.0605
0.119,0.64,0.533,27,0.0,0,1,0.0864,-6.596,1,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),0.0706,99.968,0.515
0.00134,0.676,0.869,16,6.77e-05,1,0,0.0692,-4.689,0,3Ex5RFJRUdpHcDOLXJOVLy,Raising Hell (feat. Big Freedia),0.132,114.991,0.271
0.000148,0.508,0.573,134,0.919,9,1,0.159,-7.108,1,3Gaj5GBeZ8aynvtPkxrr9A,Paradise,0.0399,128.1,0.0566
0.00174,0.407,0.98,18,0.000112,7,0,0.119,-1.58,1,3GDjlC95Tiex7BeJHMwMit,Custer,0.107,131.066,0.537
0.0407,0.746,0.45,177,0.0,7,1,0.172,-8.543,1,3GRSqlALWISqLeNncZMbpX,Mean It,0.0872,95.998,0.336
0.835,0.609,0.378,135,0.0,4,1,0.28,-9.828,1,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,0.438,100.418,0.515
0.0912,0.798,0.675,117,0.0,6,1,0.0894,-5.041,1,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),0.0442,101.956,0.842
0.433,0.448,0.603,176,0.0,7,1,0.0862,-7.176,1,3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],0.064,205.272,0.422
0.556,0.76,0.479,118,0.0,2,1,0.0703,-5.574,1,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,0.0466,89.911,0.913
0.667,0.705,0.363,208,0.0,6,1,0.112,-8.327,1,3ksmU0DaEUMEVzx5V6cc3z,One Man Band,0.0355,75.98,0.482
0.00976,0.62,0.643,20,0.0231,7,0,0.15,-5.808,1,3LuUlmeA5IhF80ysZsO9ri,If Rain Is What You Want,0.0348,124.974,0.108
0.0184,0.839,0.705,97,1.77e-05,5,1,0.102,-5.194,0,3OtMnyUaiipcAT23A8liyi,Swish Swish,0.0445,119.954,0.575
0.159,0.51,0.58,211,0.000131,1,1,0.075,-8.189,1,3OXjT67T0GiQk2IcVbsmgE,Kids Are Alright,0.356,191.523,0.292
0.39,0.73,0.861,58,0.0,1,1,0.213,-4.1,1,3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,0.0451,117.965,0.704
0.106,0.444,0.819,5,0.0,10,1,0.107,-4.078,0,3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,0.341,82.695,0.747
1.36e-05,0.495,0.942,59,0.0465,6,0,0.111,-3.999,1,3SAFToMT0ppHYNuf1gsuwi,Become the Enemy,0.0555,102.014,0.18
0.58,0.739,0.559,113,0.0,8,1,0.112,-8.011,1,3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),0.117,140.124,0.439
0.523,0.673,0.47,167,0.0224,2,1,0.121,-8.138,1,3tYI3GE47dvrqCvmrh1KYQ,Myself,0.0289,119.996,0.257
0.922,0.422,0.264,4,0.0,8,1,0.132,-7.064,1,3U4isOIWM3VvDubwSI3y7a,All of Me,0.0322,119.93,0.331
0.22,0.789,0.858,201,4.58e-05,5,1,0.335,-4.388,1,3vQhEd4lOg4mAV6CHCgoHW,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,0.0404,110.012,0.491
0.000534,0.463,0.78,14,0.0,11,0,0.106,-4.241,1,3w16kxHfUpH6HoxSlIFnPo,Bajo la Cruz,0.0355,125.094,0.391
0.0312,0.645,0.803,218,0.0,6,1,0.13,-4.819,1,3wuR0YSNdT9rgWfFi1lctv,Million Ways,0.034,106.03,0.471
0.00718,0.772,0.847,158,0.0,10,1,0.156,-3.789,0,3xB5uHrhe0uaIxNGf3JwZA,I Wanna Rock (feat. Gunna),0.0929,100.013,0.704
0.256,0.682,0.919,3,0.0,0,0,0.442,-3.18,0,3Yh9lZcWyKrK9GjbhuS0hR,Good as Hell,0.0875,95.982,0.535
0.000883,0.338,0.977,9,5.03e-05,4,0,0.318,-3.756,0,3YWdY7j8prt5v73LaDTnMW,Destruccion,0.239,144.861,0.249
0.247,0.262,0.606,30,0.0,8,1,0.125,-6.646,1,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.0484,189.857,0.275
0.0152,0.746,0.754,16,0.0,1,1,0.0486,-6.681,1,3zkWCteF82vJwv0hRLba76,Stitches,0.067,149.882,0.764
0.0549,0.778,0.549,130,0.0,1,1,0.0724,-6.144,1,3zSCNTXI7Ed0PiidZVmzIe,Ignition - Remix,0.0473,133.041,0.802
0.063,0.884,0.765,142,7.04e-06,8,1,0.118,-3.865,1,41Fflg7qHiVOD6dEPvsCzO,Worth It,0.0882,99.987,0.594
0.00218,0.573,0.929,63,0.0723,11,0,0.718,-5.996,1,47Wf9dKEHGptcL1lyQIsZk,Nookie,0.082,97.57,0.284
0.172,0.787,0.443,41,0.0,3,0,0.278,-6.709,0,48IZ6I5KgIrKL8rATErZvB,Look Away,0.0291,106.535,0.63
0.492,0.657,0.499,223,0.0,11,1,0.336,-7.785,1,4AoFhbd4nql7W5RFDjTj3O,In My Head,0.0351,92.008,0.348
0.351,0.643,0.663,124,0.0,0,1,0.127,-8.237,1,4BWBbJ9MKpnt30SFYEomzJ,Lighters,0.265,90.079,0.181
0.0527,0.613,0.764,92,0.0,2,1,0.197,-6.509,1,4CdVzZTnf7JElTDw0kyUiN,...Ready For It?,0.136,160.015,0.417
0.286,0.784,0.845,39,1.59e-05,3,0,0.074,-2.793,1,4D7ERaKgv8NAeck8RzUtRz,Younger,0.0596,105.981,0.888
0.124,0.64,0.648,149,0.0,5,1,0.0802,-8.113,0,4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),0.187,92.977,0.548
0.181,0.637,0.713,81,0.000637,0,1,0.137,-4.333,1,4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,0.0747,129.923,0.243
0.062,0.738,0.717,31,0.0,1,0,0.205,-5.121,1,4fwo6czG5nvOQMzhOto1ya,Lonely (with Jonas Brothers),0.0573,98.047,0.5
0.00968,0.513,0.788,196,0.0,0,1,0.11,-4.629,1,4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),0.0364,139.987,0.234
0.00346,0.518,0.784,51,0.00187,2,1,0.171,-5.659,1,4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,0.0524,124.102,0.588
0.000319,0.649,0.896,23,1.19e-05,10,0,0.102,-2.704,0,4ImIJRZNJhNQLLdUFSYJoS,Down with the Sickness,0.056,90.009,0.924
0.00813,0.741,0.87,199,0.0,6,1,0.114,-3.494,0,4IO8X9W69dIQe0EC5ALXhq,Immortal,0.503,184.194,0.663
0.95,0.505,0.296,111,0.862,0,1,0.116,-14.106,1,4JEAuL1vzWlnb6bx3HLlO1,The Circus Of Machines I (Overture),0.0353,129.972,0.287
0.0198,0.707,0.611,98,3.59e-06,2,1,0.0651,-4.474,1,4lnAN2S1fcI0SjxEbksZVr,Fetish (feat. Gucci Mane),0.0639,123.006,0.285
1.2e-05,0.407,0.983,26,0.209,11,0,0.314,-2.165,1,4MtitTdGu0ldNjytXNFV64,Darkness Within,0.109,100.981,0.164
0.0199,0.611,0.7,131,0.0,9,1,0.0549,-5.331,1,4OZEu0Vwq0RB2LAq14v99n,Middle,0.0436,104.981,0.213
0.0784,0.476,0.718,189,1.02e-05,8,1,0.122,-5.309,1,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,0.0576,199.864,0.142
